OBJECTID,STN_NAME,STN_NO,Latitude,Longitude
182,BRADDELL MRT STATION,NS18,1.340471684451099,103.84679784541233
183,BUANGKOK MRT STATION,NE15,1.382877858147225,103.8931215647853
184,PROMENADE MRT STATION,CC4/DT15,1.2932180514893272,103.86099915588701
185,BOTANIC GARDENS MRT STATION,CC19/DT9,1.3221101929847647,103.81498275034396
186,RAFFLES PLACE MRT STATION,EW14/NS26,1.2841256105732046,103.85146171209111
187,HOLLAND VILLAGE MRT STATION,CC21,1.3118347904021326,103.79619182386152
188,OUTRAM PARK MRT STATION,EW16,1.2814049781301367,103.8391264975836
189,TELOK BLANGAH MRT STATION,CC28,1.2707532114585787,103.80974863683566
190,TELOK AYER MRT STATION,DT18,1.2822895361922544,103.84830280619272
191,NEWTON MRT STATION,NS21/DT11,1.3123200995556394,103.83798529963273
193,CANBERRA MRT STATION,NS12,1.443136699719395,103.82971180026023
192,WOODLANDS NORTH MRT STATION,TE1,1.448292499870659,103.78569270000877
199,HUME MRT STATION,DT4,1.3545176075254892,103.76909924150804
198,SPRINGLEAF MRT STATION,TE4,1.3981608610259548,103.81808184986265
197,LENTOR MRT STATION,TE5,1.3850619469262857,103.83646948691421
196,MAYFLOWER MRT STATION,TE6,1.3720866386742012,103.83682393201485
195,BRIGHT HILL MRT STATION,TE7,1.3633080980958083,103.8329359578363
194,UPPER THOMSON MRT STATION,TE8,1.3544118531277336,103.83293816886057
