Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Rating,Latitude,Longitude
SRP Indian Muslim Food @ Dover Crescent,"28 Dover Cres, Singapore 130028",No,Yes,No,Yes,Indian,3.5/5.0 (45 reviews),1.304460927,103.7817797
Zham Zham Muslim Food @ Tekka Food Centre,"665 Buffalo Rd, Singapore 210665 #01-217",No,Yes,No,Yes,Indian,4.1/5.0 (117 reviews),1.306177054,103.8506113
KhairunMiyah Crispy Prata @ Tampines Street 21,"201c Tampines St. 21, Singapore 523201 #01-01",No,Yes,No,Yes,Indian,4.6/5.0 (145 reviews),1.352824017,103.9529801
Mufiz Prata Corner @ Lorong 12 Geylang,"Lor 12 Geylang, Singapore 398993",No,Yes,Yes,No,"Indian, Opens 24 Hours",4.1/5.0 (240 reviews),1.31102592,103.8783784
Mohamad's Teh Tarik Eating House @ Tampines Central 1,"503 Tampines Central 1, Singapore 520503",No,Yes,Yes,No,"Indian, Malay",3.4/5.0 (206 reviews),1.355803357,103.9451029
Nooh Indian Muslim Food,"Block 65 Circuit Rd, Singapore 370065 #01-361",No,Yes,No,Yes,Indian,4.7/5.0 (11 reviews),1.3274004,103.8872037
Al Bismi Indian Muslim Food @ Woodlands Street 81,"806 Woodlands Street 81, Block 806, Singapore 730806",No,Yes,No,Yes,"Indian, Opens 24 Hours",4.1/5.0 (20 reviews),1.4409871,103.7867592
Al Bismi Muslim Food @ Old Airport Road,"17 Old Airport Rd, Singapore 397972 #01-13",No,Yes,No,Yes,Indian,4.7/5.0 (18 reviews),1.307343984,103.8840177
Haji Johan Indian Muslim Food / Temasek Indian Rojak @ Buffalo Road,"665 Buffalo Rd, Singapore 210665",No,Yes,No,Yes,Indian,4.1/5.0 (33 reviews),1.306177054,103.8506113
Mohamed Javed Indian Muslim Food @ Fernvale Street,"473 Fernvale St, Singapore 790473",No,Yes,No,Yes,Indian,4.1/5.0 (163 reviews),1.397798747,103.8816988
Mr K Prata @ King George's Avenue,"Blk 803 King George's Ave, Singapore 200808 #01-206",No,Yes,No,Yes,Indian,3.6/5.0 (20 reviews),1.3088061,103.861312
Mr K Prata @ Tampines Street 11,"139 Tampines St. 11, Singapore 521139",No,Yes,No,Yes,Indian,3.8/5.0 (26 reviews),1.346155872,103.9445074
Mr K Prata @ Anchorvale Link,"303 Anchorvale Link, Singapore 540303 #01-01",No,Yes,No,Yes,Indian,3.5/5.0 (20 reviews),1.387381945,103.8906061
SA Deen Indian Muslim Food @ Bedok Reservoir Road,"151 Bedok Reservoir Rd, Block 151, Singapore 470151",No,Yes,No,Yes,Indian,4.3/5.0 (92 reviews),1.3355762,103.9115458
280 Indian Muslim Food @ Tampines Street 22,"280 Tampines Street 22, Block 280, Singapore 520280",No,Yes,No,Yes,Indian,4.1/5.0 (23 reviews),1.3475352,103.9517028
Jamirah Indian Muslim Food @ Elias Road,"623 Elias Rd, Singapore 510623",No,Yes,No,Yes,Indian,3.7/5.0 (27 reviews),1.377905331,103.9423358
Rohana Indian Muslim Food @ Hougang Central,"805 Hougang Central, Singapore 530805 #01-116",No,Yes,No,Yes,Indian,3.0/5.0 (42 reviews),1.370650882,103.8943783
Dapur Hassan @ Tampines Street 86,"872c Tampines Street 86, Singapore 528588",No,No,No,Yes,Malay,4.4/5.0 (29 reviews),1.355226471,103.9316263
Al Hawa @ Sembawang Close,"334a Sembawang Close, Singapore 751334",No,Yes,No,Yes,"Indian, Opens 24 Hours",3.5/5.0 (11 reviews),1.448049336,103.816349
Al Hawa @ Edgedale Plains,"660a Edgedale Plains, Singapore 821660",No,Yes,No,Yes,Indian,2.7/5.0 (11 reviews),1.402621973,103.9165196
BBQ House by Kampong House SG,"9 Jurong West Ave 5, Singapore 649487 #01-09",Yes,No,No,Yes,"BBQ, Singaporean, Seafood",2.8/5.0 (5 reviews),1.349080754,103.7028813
Mr Biryani @ One North (Timbre+),"73a Ayer Rajah Crescent, Singapore 139957",Yes,No,No,Yes,"Indian, Dhum Biryani",3.4/5.0 (16 reviews),1.297411248,103.7875263
Mr Biryani @ Chander Road,"11 Chander Rd, Singapore 219529",Yes,No,No,Yes,"Indian, Dhum Biryani",4.4/5.0 (2291 reviews),1.307858026,103.8509755
Mr Biryani @ Norris Road,"32 Norris Rd, Singapore 208274",Yes,No,No,Yes,"Indian, Dhum Biryani",4.4/5.0 (2291 reviews),1.307843603,103.8539438
Kebabs Faktory @ West Mall,"1 Bt Batok Central, Singapore 658713 #01-42",Yes,No,No,Yes,"Mediterranean, Kebabs",4.0/5.0 (114 reviews),1.349921529,103.749172
Kebabs Faktory @ One North (Timbre+),"73a Ayer Rajah Crescent, Singapore 139957 #01-34",Yes,No,No,Yes,"Mediterranean, Kebabs",3.5/5.0 (64 reviews),1.297411248,103.7875263
Kebabs Faktory @ Shenton Way,"1 Shenton Way, Singapore 068803 #01-06",Yes,No,No,Yes,"Mediterranean, Kebabs",3.9/5.0 (135 reviews),1.27929479,103.8505526
Kebabs Faktory @ Sengkang Grand Mall,"70 Compassvale Bow, Singapore 544692 #01-10",Yes,No,No,Yes,"Mediterranean, Kebabs",3.9/5.0 (70 reviews),1.383894176,103.8924188
Kebabs Faktory @ Tanglin Mall,"163 Tanglin Rd, Singapore 247933 #B1-120",Yes,No,No,Yes,"Mediterranean, Kebabs",3.9/5.0 (77 reviews),1.304853421,103.8238835
Kebabs Faktory @ Joo Chiat Road,"198 Joo Chiat Rd, Singapore 427469 #01-01",Yes,No,No,Yes,"Mediterranean, Kebabs",4.3/5.0 (50 reviews),1.31225473,103.9001636
Kebabs Faktory @ Funan,"107 North Bridge Rd, Singapore 179105 #02-31",Yes,No,No,Yes,"Mediterranean, Kebabs",4.0/5.0 (210 reviews),1.291347597,103.8499898
Sinar Malay Seafood @ Ang Mo Kio Avenue 5,"608 Ang Mo Kio Ave 5, Singapore 560608 #01-2771",No,Yes,No,Yes,"Malay, Seafood",3.9/5.0 (47 reviews),1.3785821,103.8367603
Al Afrida Restaurant @ Yung Kuang Road,"66 Yung Kuang Rd, Singapore 610065 #01-89/91",No,Yes,Yes,No,"Indian, Thai, Seafood",2.6/5.0 (40 reviews),1.332059531,103.7229185
Al Afrida Restaurant @ Bedok Reservoir Road,"117 Bedok Reservoir Rd, Singapore 470117 #01-72",No,Yes,Yes,No,"Indian, Thai, Seafood",3.7/5.0 (54 reviews),1.331413249,103.9086889
Fried Rice Story @ Bukit Merah View,"116 Bukit Merah View, Singapore 151116 #01-253",Yes,No,No,Yes,"BBQ, Chinese, Singaporean, Seafood, Malay, Beef, Asian, Chicken",3.9/5.0 (24 reviews),1.285134271,103.8215322
Texas Lone Star @ Sengkang Kopitiam Square,"10 Sengkang Square, Kopitiam Square, Singapore 544829 #01-54",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",2.3/5.0 (25 reviews),1.391620261,103.8936783
Texas Lone Star @ Greenridge Shopping Centre,"524A Jelapang Rd, Singapore 671524 #01-03",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",1.9/5.0 (13 reviews),1.385295563,103.7661705
Texas Lone Star @ Jalan Kayu,"244 Jln Kayu, Singapore 799468",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",3.3/5.0 (22 reviews),1.39777892,103.8733651
Texas Lone Star @ Tanjong Katong Road,"364 Tanjong Katong Rd, Singapore 437123",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",3.2/5.0 (11 reviews),1.303044376,103.8966823
Texas Lone Star @ Bedok North Street 4,"87 Bedok North Street 4, Singapore 460087 #01-191",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",2.8/5.0 (13 reviews),1.332502614,103.9385871
Susan's Rojak @ Hougang Street 51,"21 Hougang St 51, Singapore 538719 #01-42",No,No,No,Yes,"BBQ, Seafood",4.5/5.0 (4 reviews),1.379317835,103.8878471
FAZS Satay & Muslim Food @ Yishun Street 31,"333C Yishun Street 31, Singapore",No,Yes,No,Yes,"Chicken, Singaporean, Seafood, Malay, BBQ, Beef, Lamb",4.6/5.0 (16 reviews),1.43189,103.8457902
CAFE O @ Raffles Holland V,"118 Holland Ave, Singapore 278973",Yes,No,Yes,No,"Dessert, Beverages, Vegetarian, Seafood, Malay, Indian, Beef, Lamb, BBQ, Indonesian",3.1/5.0 (288 reviews),1.310563515,103.7961072
Queenstown Lontong,"Blk 38A Margaret Dr, #01-27, Singapore 142038 #01-27",No,Yes,No,Yes,"Malay, Vegetarian, Chicken",4.5/5.0 (209 reviews),1.2974259,103.8047105
Yes Nasi Kukus @ Woodlands Street 11,"167 Woodlands Street 11, Singapore 730167",Yes,No,No,Yes,"Malay, Chicken, Beef, Lamb, Vegetarian",4.0/5.0 (44 reviews),1.433593706,103.7758841
Yes Nasi Kukus @ Toh Guan Road,"48 Toh Guan Rd E, Singapore 608586",Yes,No,No,Yes,"Malay, Chicken, Beef, Lamb, Vegetarian",4.5/5.0 (30 reviews),1.336773733,103.7543622
Aziza Putu Piring @ Marine Parade Central,"84 Marine Parade Central, Singapore 440084 #01-02",No,Yes,No,Yes,"Dessert, Malay",3.8/5.0 (6 reviews),1.30228521,103.9062887
Nasi Lemak Ayam Taliwang @ Plaza Singapura (Kopitiam),"68 Orchard Rd, Singapore 238839 #06-15/20",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.6/5.0 (248 reviews),1.30083413,103.8450727
Nasi Lemak Ayam Taliwang @ Kaki Bukit,"11 Kaki Bukit Rd 4, Singapore 417806",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.6/5.0 (67 reviews),1.33921779,103.9121056
Nasi Lemak Ayam Taliwang @ Admiralty Place (Cantine),"678a Woodlands Avenue 6, Singapore 731678 #02-05",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.2/5.0 (100 reviews),1.440363676,103.8015374
Nasi Lemak Ayam Taliwang @ The Learning Lab Building (Foodfare),"309 Choa Chu Kang Ave 4, Singapore 680309 #01",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.6/5.0 (176 reviews),1.38525197,103.7458642
Nasi Lemak Ayam Taliwang @ Hillion Mall,"17 Petir Rd, Singapore 678278",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.4/5.0 (51 reviews),1.378431008,103.7628428
